考号,语文,数学,英语,总分
70605,131,143,144,418
70603,131,135,144,410
70609,127,139,142,408
70601,123,148,136,407
70606,126,135,140,401
70604,129,133,138,400
70602,116,143,140,399
70616,114,142,139,395
70607,115,139,135,389
70611,116,142,129,387
70621,123,130,134,387
70608,122,124,139,385
70612,118,136,131,385
70623,121,123,139,383
70610,126,115,139,380
70633,121,127,131,379
70620,111,139,128,378
70625,119,129,130,378
70619,124,108,144,376
70614,124,128,122,374
70613,121,123,128,372
70668,116,131,122,369
70636,114,124,122,360
70667,116,123,119,358
70624,116,122,118,356
70626,118,126,111,355
70629,112,109,130,351
70646,109,116,125,350
70649,114,117,118,349
70645,110,102,136,348
70635,114,113,120,347
70618,110,117,119,346
70643,113,113,119,345
70637,117,121,106,344
70617,112,105,126,343
70615,103,127,110,340
70634,108,110,119,337
70638,105,105,126,336
70622,115,111,106,332
70631,101,112,106,319
70642,98,104,116,318
70627,103,103,111,317
70641,96,130,89,315
70648,105,102,105,312
70650,118,82,112,312
70632,101,91,115,307
70630,112,90,104,306
70639,109,68,126,303
70647,107,67,129,303
70655,94,98,104,296
70644,107,76,104,287
70628,106,100,80,286
70651,105,95,82,282
70640,101,59,108,268
70656,85,95,85,265
70669,95,71,85,251
70654,97,76,71,244
70661,99,87,44,230
70659,83,61,71,215
70652,87,77,43,207
70657,82,53,62,197
70653,79,49,64,192
70660,99,21,67,187
70662,90,29,64,183
70663,78,45,47,170
70658,86,32,46,164
70664,75,23,34,132
70665,66,23,34,123
